,Datetime,Tweet Id,Text,Username,sen_results,polarity,subjectivity,sentiment
35,2022-04-22 06:25:00+00:00,1517388984355221504,USA: The Illinois Appellate Court on Thursday reinstated the Chicago Public Schools right to enforce a COVID19 vaccine mandate for its staff ,LutherBurgsvik,"{'polarity': 0.14285714285714285, 'subjectivity': 0.3011904761904762, 'sentiment': 'Positive'}",0.14285714285714285,0.3011904761904762,Positive
36,2022-04-22 06:24:53+00:00,1517388955821363200,Around 5000 people in the age group of 18 to 59 were administered free precautionary doses of Covid19 vaccine so far in the state,BiharDigest,"{'polarity': 0.25, 'subjectivity': 0.9, 'sentiment': 'Positive'}",0.25,0.9,Positive
37,2022-04-22 06:24:49+00:00,1517388937710702592,on April 12 PrimeMinister Narendra Modi had in Sep tember 2021 committed to Quad nations donate 500000have so far doses of vacci provided nes to countries Thailand 45 in the IndoPaci million doses fic regionof Covid19 vaccine Quad countrieshave so far provi ded Thailand3),shubham19767400,"{'polarity': 0.1, 'subjectivity': 1.0, 'sentiment': 'Positive'}",0.1,1.0,Positive
38,2022-04-22 06:23:53+00:00,1517388706318938112,"We were told the Covid19 vaccine spike protein would stay at the injection site similar to traditional vaccines
Pfizer’s own study shows this isnt true and the highest concentration ends up in the liver ",lala_whatsup,"{'polarity': 0.2375, 'subjectivity': 0.7, 'sentiment': 'Positive'}",0.2375,0.7,Positive
39,2022-04-22 06:22:17+00:00,1517388303187722242,"Defence Minister Thandi Modise has admitted the department made a mistake in buying a socalled Covid19 vaccine from Cuba
",GagasiFMNews,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
40,2022-04-22 06:21:59+00:00,1517388225211420676,"#Fauci: We are concerned about courts getting involved in things that are unequivocally a #PublicHealth decision this is a issue The audacity of #AnthonyFauci to say the #CDC is above the law
He must want another payout from #Covid19 #Vaccine #maskmandate ",RealLlamaDuck,"{'polarity': 0.0, 'subjectivity': 0.1, 'sentiment': 'Neutral'}",0.0,0.1,Neutral
41,2022-04-22 06:20:50+00:00,1517387938270572544,Pagdonate ng Pilipinas ng COVID19 vaccines sa ilang bansa tuloy clearance ng Office of the President hinihintay | via ,dzbb,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
42,2022-04-22 06:20:00+00:00,1517387725900496896,Immunocompromised individuals are the first to be eligible to receive a second Covid19 vaccine booster shot once the measure is implemented said DOH Secretary Francisco Duque III ,manilabulletin,"{'polarity': 0.125, 'subjectivity': 0.16666666666666666, 'sentiment': 'Positive'}",0.125,0.16666666666666666,Positive
43,2022-04-22 06:18:46+00:00,1517387417564499968,ExPfizer VicePresident: COVID19 Vaccines to Cause “Mass Depopulation” Event Within 2 years [VIDEO]  来自 ,NgyNina,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
44,2022-04-22 06:15:13+00:00,1517386521862873088,The Janssen (Johnson amp Johnson) COVID19 vaccine may now be used as a COVID19 booster after the Food and Drug Administration approved its emergency use authorization This may be given at least two months after the first primary dose 📷 Dept of Health ,onenewsph,"{'polarity': 0.11666666666666668, 'subjectivity': 0.41111111111111115, 'sentiment': 'Positive'}",0.11666666666666668,0.41111111111111115,Positive
45,2022-04-22 06:14:27+00:00,1517386328907919360,Former Mp for Ledzokuku appointed as acting CEO of NHIA Covid19 vaccines donated to Africa to expire in May BortianorNgleshie Amanfrom roads declared as under emergency by Roads ministry Former Botswana prez Ian Khama charged for illegal possession of firearms #GTVbreakfast,MaltitiOfficial,"{'polarity': -0.125, 'subjectivity': 0.125, 'sentiment': 'Negative'}",-0.125,0.125,Negative
46,2022-04-22 06:13:09+00:00,1517386001735467009,"Most people are not even aware they were the guinea pigs/primates on which this #Covid19 vaccine was tested
#Obama: “…we have now essentially clinically tested the vaccine on billions of people worldwide…”
#VaccineSideEffects #Covid ",peterpobjecky,"{'polarity': 0.25, 'subjectivity': 0.35000000000000003, 'sentiment': 'Positive'}",0.25,0.35000000000000003,Positive
47,2022-04-22 06:12:56+00:00,1517385947469471747,CDC advisers mull whatampaposs next for Covidamp19 boosters Vaccine advisers to the US Centers for Disease Control and Prevention continue to mull over what the future of Covid19 booster shots might look l  ,_oftoday_,"{'polarity': 0.0, 'subjectivity': 0.0625, 'sentiment': 'Neutral'}",0.0,0.0625,Neutral
48,2022-04-22 06:12:38+00:00,1517385875201552384,"#Quad partners deliver 200000 #Indiamade Covid19 vaccines to #Thailand
 ",cutswdc,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
49,2022-04-22 06:11:48+00:00,1517385665364832256, Im not against vaccination because vaccines in the have done well in preventing dangerous diseases in Uganda but as per day we dont need COVID19 vaccines before Omicron we surely needed them but omicron affected almost everyone and we now have herd immunity,AndrewWefwafwa,"{'polarity': -0.04999999999999999, 'subjectivity': 0.8944444444444444, 'sentiment': 'Negative'}",-0.04999999999999999,0.8944444444444444,Negative
50,2022-04-22 06:09:59+00:00,1517385205627355136," The following brands of COVID19 vaccine will be used as 2nd booster dose:
 AstraZeneca
 Moderna
 Pfizer
 Sinopharm
 Sinovac | via ",rapplerdotcom,"{'polarity': 0.0, 'subjectivity': 0.05, 'sentiment': 'Neutral'}",0.0,0.05,Neutral
